tcr_id_reference,percentage_lower
6avf,43.776824034334766
3vxm,64.37768240343348
6avg,30.90128755364807
4g8g,1.4306151645207439
7q9b,1.144492131616595
5sws,4.148783977110158
3pwp,3.4334763948497855
7phr,4.57796852646638
1g6r,5.579399141630901
7dzn,1.859799713876967
7byd,33.47639484978541
2nx5,87.41058655221745
6p64,4.434907010014307
5d2n,71.67381974248927
3tjh,44.77825464949928
3tfk,7.0100143061516444
6l9l,4.434907010014307
5jhd,70.9585121602289
7ndq,70.24320457796853
6vqo,7.439198855507868
7r80,47.78254649499284
6rp9,30.042918454935624
6r2l,9.298998569384835
5d2l,0.0
7pbe,0.14306151645207438
7ow6,5.436337625178827
6uon,87.55364806866953
3dxa,80.11444921316166
1nam,39.77110157367668
3kpr,5.007153075822604
7pb2,18.168812589413445
7n2p,0.5722460658082975
7n2r,78.39771101573677
3tpu,10.586552217453505
8d5q,4.148783977110158
7n2s,26.609442060085836
7rtr,8.583690987124463
5xov,66.95278969957081
5nqk,0.0
3rgv,7.868383404864092
7l1d,5.436337625178827
6uln,9.298998569384835
4mji,43.204577968526465
5w1w,30.90128755364807
7n2o,0.5722460658082975
6zkw,17.02432045779685
5e6i,83.2618025751073
2ypl,68.24034334763948
5brz,5.7224606580829755
5euo,3.5765379113018603
6rsy,37.48211731044349
6rpb,33.90557939914164
1fo0,0.5722460658082975
7n2n,37.48211731044349
4n5e,22.17453505007153
7rm4,81.83118741058655
1kj2,35.622317596566525
6rpa,53.21888412017167
5e9d,25.894134477825464
6tro,82.40343347639485
3e3q,23.17596566523605
3gsn,2.0028612303290414
6vrm,42.91845493562232
5men,22.317596566523605
8gon,83.11874105865522
3qdm,15.30758226037196
8enh,6.723891273247497
3d3v,16.30901287553648
7jwi,0.0
5nmf,35.622317596566525
8i5d,8.15450643776824
8cx4,0.4291845493562232
5m02,46.78111587982833
2ckb,1.7167381974248928
7rrg,42.63233190271817
7n4k,29.613733905579398
5jzi,65.23605150214593
2ak4,0.0
7jwj,52.64663805436338
2esv,4.86409155937053
8qfy,6.580829756795422
2jcc,10.300429184549357
6vm8,11.874105865522175
6q3s,3.4383954154727796
8i5c,30.32904148783977
4jrx,18.168812589413445
6bj3,43.490701001430615
5wlg,17.8826895565093
7q99,28.898426323319025
6bj2,40.772532188841204
3qdj,6.151645207439199
6mtm,78.54077253218884
6vm9,4.57796852646638
6vmx,31.330472103004293
6amu,61.51645207439199
7nme,8.297567954220316
7n6e,23.89127324749642
6tmo,0.14306151645207438
4eup,9.585121602288984
7rk7,9.44206008583691
5c09,4.148783977110158
4mvb,2.1459227467811157
8gvi,3.290414878397711
3sjv,0.28612303290414876
1bd2,41.9170243204578
3hg1,36.33762517882689
5c08,0.7153075822603719
