pdb_id,closest_mhc
3qdj,"['5tez', '3qdm', '8gon', '3d3v', '8gom', '2gj6', '6vm9', '6dkp', '6vm8', '6am5', '4l3e', '1lp9', '5yxn', '1bd2', '6rsy', '4ftv', '3utt', '7rm4', '8dnt', '6d78', '3h9s', '6rp9', '5c0b', '6vm7', '6vma', '6vmc', '3pwp', '7q9b', '3qdg', '5isz', '2f53', '3d39', '3qeq', '3qfj', '7phr']"
4jrx,"['2ak4', '4jry', '4pri']"
8i5c,['8i5d']
7q99,"['5nmf', '5nmg', '5men', '5nme', '3o4l', '4mnq', '5c08', '3hg1', '6tmo', '5c09', '2vlj', '5hho', '2p5e', '2vlk', '1oga', '3uts', '6rpa', '7qpj', '2p5w', '2pye', '5eu6', '7pbc', '6r2l', '4qok', '2vlr', '6eqb', '7pbe', '6eqa', '7q9a', '4jfd', '2bnq', '4jfe', '7pdw', '5c0c', '5c0a', '5c07', '2bnr', '4jff', '5hyj']"
6bj3,"['8enh', '8eo8']"
5wlg,"['7jwi', '5swz']"
6q3s,"['1qse', '1ao7', '7n1e', '6vrn', '5euo', '2f54', '1qrn']"
6vm8,"['5tez', '3qdm', '8gon', '3d3v', '8gom', '2gj6', '6vm9', '3qdj', '6dkp', '6am5', '4l3e', '1lp9', '5yxn', '1bd2', '6rsy', '4ftv', '3utt', '7rm4', '8dnt', '6d78', '3h9s', '6rp9', '5c0b', '6vm7', '6vma', '6vmc', '3pwp', '7q9b', '3qdg', '5isz', '2f53', '3d39', '3qeq', '3qfj', '7phr']"
5c08,"['5nmf', '5nmg', '5men', '5nme', '3o4l', '4mnq', '7q99', '3hg1', '6tmo', '5c09', '2vlj', '5hho', '2p5e', '2vlk', '1oga', '3uts', '6rpa', '7qpj', '2p5w', '2pye', '5eu6', '7pbc', '6r2l', '4qok', '2vlr', '6eqb', '7pbe', '6eqa', '7q9a', '4jfd', '2bnq', '4jfe', '7pdw', '5c0c', '5c0a', '5c07', '2bnr', '4jff', '5hyj']"
3hg1,"['5nmf', '5nmg', '5men', '5nme', '3o4l', '4mnq', '7q99', '5c08', '6tmo', '5c09', '2vlj', '5hho', '2p5e', '2vlk', '1oga', '3uts', '6rpa', '7qpj', '2p5w', '2pye', '5eu6', '7pbc', '6r2l', '4qok', '2vlr', '6eqb', '7pbe', '6eqa', '7q9a', '4jfd', '2bnq', '4jfe', '7pdw', '5c0c', '5c0a', '5c07', '2bnr', '4jff', '5hyj']"
4mvb,"['4n5e', '4mxq']"
1bd2,"['5tez', '3qdm', '8gon', '3d3v', '8gom', '2gj6', '6vm9', '3qdj', '6dkp', '6vm8', '6am5', '4l3e', '1lp9', '5yxn', '6rsy', '4ftv', '3utt', '7rm4', '8dnt', '6d78', '3h9s', '6rp9', '5c0b', '6vm7', '6vma', '6vmc', '3pwp', '7q9b', '3qdg', '5isz', '2f53', '3d39', '3qeq', '3qfj', '7phr']"
8gvi,"['3vxs', '3vxr', '3vxu', '5xov', '3vxm', '8gvg']"
3sjv,"['1mi5', '3ffc']"
6tmo,"['5nmf', '5nmg', '5men', '5nme', '3o4l', '4mnq', '7q99', '5c08', '3hg1', '5c09', '2vlj', '5hho', '2p5e', '2vlk', '1oga', '3uts', '6rpa', '7qpj', '2p5w', '2pye', '5eu6', '7pbc', '6r2l', '4qok', '2vlr', '6eqb', '7pbe', '6eqa', '7q9a', '4jfd', '2bnq', '4jfe', '7pdw', '5c0c', '5c0a', '5c07', '2bnr', '4jff', '5hyj']"
5c09,"['5nmf', '5nmg', '5men', '5nme', '3o4l', '4mnq', '7q99', '5c08', '3hg1', '6tmo', '2vlj', '5hho', '2p5e', '2vlk', '1oga', '3uts', '6rpa', '7qpj', '2p5w', '2pye', '5eu6', '7pbc', '6r2l', '4qok', '2vlr', '6eqb', '7pbe', '6eqa', '7q9a', '4jfd', '2bnq', '4jfe', '7pdw', '5c0c', '5c0a', '5c07', '2bnr', '4jff', '5hyj']"
7rk7,['5jzi']
4eup,['5e9d']
2vlj,"['5nmf', '5nmg', '5men', '5nme', '3o4l', '4mnq', '7q99', '5c08', '3hg1', '6tmo', '5c09', '5hho', '2p5e', '2vlk', '1oga', '3uts', '6rpa', '7qpj', '2p5w', '2pye', '5eu6', '7pbc', '6r2l', '4qok', '2vlr', '6eqb', '7pbe', '6eqa', '7q9a', '4jfd', '2bnq', '4jfe', '7pdw', '5c0c', '5c0a', '5c07', '2bnr', '4jff', '5hyj']"
3rgv,['1nam']
5nqk,['5nht']
5wkf,"['8wul', '8wte', '5wkh']"
5xov,"['3vxs', '3vxr', '3vxu', '8gvi', '3vxm', '8gvg']"
7n1e,"['1qse', '1ao7', '6vrn', '5euo', '2f54', '1qrn']"
7rtr,['4eup']
5w1w,['5w1v']
4mji,"['3mv9', '3mv8', '8en8', '4prp', '3mv7', '2nx5', '4qrr']"
6uln,['6uon']
7l1d,"['5wkf', '8wul', '8wte', '5wkh']"
1fo0,['1nam']
6vrn,"['1qse', '1ao7', '7n1e', '5euo', '2f54', '1qrn']"
7n2n,"['8cx4', '7n2o', '7n2q', '7n2s']"
